origin,destination,distance_km,duration_min,time_of_day,hour,weather,day_type,traffic,service_type,price
Kukatpally,Inorbit Mall,7.81,18,Night,4,Clear,Weekday,Light,Standard,177
Kukatpally,Dilsukhnagar,23.17,61,Evening,17,Clear,Weekday,Moderate,Economy,477
Gachibowli,Secunderabad,20.6,40,Morning,6,Rainy,Weekday,Light,Economy,330
Kukatpally,Abids,16.13,70,Morning,5,Rainy,Weekday,Heavy,Standard,498
Banjara Hills,Shamshabad Airport,25.34,106,Afternoon,16,Rainy,Weekend,Heavy,Economy,636
Ameerpet,Mehdipatnam,6.16,16,Afternoon,16,Clear,Weekend,Light,Economy,116
Uppal,Jubilee Hills,21.06,56,Evening,17,Rainy,Weekday,Moderate,Premium,853
Uppal,Inorbit Mall,24.03,63,Evening,18,Cloudy,Weekend,Moderate,Standard,633
Ameerpet,Dilsukhnagar,14.66,40,Afternoon,14,Clear,Weekend,Moderate,Premium,411
Abids,Golconda Fort,10.32,23,Evening,20,Clear,Weekend,Light,Standard,200
Banjara Hills,Uppal,17.67,35,Evening,20,Rainy,Weekday,Light,Standard,337
Mehdipatnam,LB Nagar,17.26,46,Morning,11,Clear,Weekday,Moderate,Standard,332
KPHB,Gachibowli,9.68,22,Morning,11,Clear,Weekday,Light,Economy,143
Jubilee Hills,Gachibowli,8.36,25,Night,1,Rainy,Weekday,Moderate,Premium,339
Financial District,Banjara Hills,12.11,26,Morning,8,Cloudy,Weekend,Light,Premium,374
Jubilee Hills,Uppal,21.06,41,Afternoon,14,Rainy,Weekday,Light,Standard,389
Lakdikapul,Charminar,6.78,17,Morning,5,Clear,Weekend,Light,Economy,123
Banjara Hills,Uppal,17.67,47,Evening,17,Rainy,Weekday,Moderate,Economy,463
Jubilee Hills,Golconda Fort,5.93,29,Night,0,Clear,Weekday,Heavy,Economy,172
Hitech City,Koti,17.02,34,Evening,19,Clear,Weekend,Light,Economy,314
Gachibowli,Kukatpally,10.5,30,Morning,11,Cloudy,Weekend,Moderate,Economy,200
Shamshabad Airport,Mehdipatnam,22.4,43,Afternoon,15,Rainy,Holiday,Light,Standard,530
KPHB,Gachibowli,9.68,22,Afternoon,14,Rainy,Weekday,Light,Premium,268
Film Nagar,Dilsukhnagar,16.03,32,Morning,6,Clear,Weekend,Light,Economy,231
Ameerpet,Uppal,16.17,44,Afternoon,13,Rainy,Holiday,Moderate,Economy,412
Abids,Jubilee Hills,10.4,23,Morning,10,Clear,Weekday,Light,Standard,175
Lingampally,Miyapur,7.79,24,Afternoon,12,Clear,Weekday,Moderate,Standard,170
Tank Bund,Hitech City,13.89,29,Morning,6,Clear,Holiday,Light,Premium,367
Dilsukhnagar,Koti,6.59,31,Evening,18,Clear,Weekday,Heavy,Standard,226
Gachibowli,Madhapur,6.04,19,Morning,10,Clear,Weekday,Moderate,Economy,122
Film Nagar,Inorbit Mall,5.44,14,Afternoon,16,Clear,Weekday,Light,Premium,146
Lakdikapul,Botanical Garden,11.0,49,Afternoon,13,Light Rain,Weekday,Heavy,Premium,395
Dilsukhnagar,Mehdipatnam,12.21,54,Evening,19,Clear,Weekday,Heavy,Standard,375
Financial District,Abids,18.48,37,Afternoon,12,Clear,Weekday,Light,Premium,389
Lakdikapul,Koti,4.68,24,Evening,17,Clear,Weekday,Heavy,Economy,164
Paradise Circle,Kukatpally,13.39,37,Morning,9,Clear,Weekday,Moderate,Premium,390
Mehdipatnam,Banjara Hills,3.27,13,Afternoon,14,Thunderstorm,Weekend,Moderate,Premium,194
Madhapur,Banjara Hills,7.09,33,Evening,19,Thunderstorm,Weekday,Heavy,Standard,350
Financial District,Madhapur,8.29,38,Morning,9,Clear,Weekday,Heavy,Premium,352
Lakdikapul,Kukatpally,13.23,37,Afternoon,12,Clear,Weekday,Moderate,Standard,267
Mehdipatnam,Shamshabad Airport,22.4,43,Afternoon,16,Thunderstorm,Weekday,Light,Premium,594
Lingampally,Jubilee Hills,15.83,68,Evening,18,Clear,Weekday,Heavy,Standard,506
Secunderabad,Financial District,21.72,42,Morning,10,Thunderstorm,Weekday,Light,Premium,618
Kukatpally,Hitech City,7.04,22,Morning,8,Clear,Weekday,Moderate,Economy,164
Jubilee Hills,Film Nagar,2.37,11,Afternoon,14,Clear,Weekday,Moderate,Economy,65
KPHB,Financial District,13.23,37,Afternoon,15,Clear,Holiday,Moderate,Premium,419
Charminar,Botanical Garden,17.36,35,Night,2,Clear,Weekday,Light,Premium,416
Charminar,Lingampally,28.76,120,Morning,5,Thunderstorm,Weekday,Heavy,Economy,804
Ameerpet,Uppal,16.17,33,Morning,10,Cloudy,Weekend,Light,Standard,283
Tank Bund,Jubilee Hills,9.2,27,Evening,18,Clear,Weekday,Moderate,Economy,207
Uppal,Tank Bund,11.98,26,Morning,11,Clear,Weekday,Light,Standard,191
Financial District,Ameerpet,14.59,63,Evening,17,Thunderstorm,Weekday,Heavy,Standard,609
KPHB,Inorbit Mall,8.45,19,Morning,8,Cloudy,Weekend,Light,Premium,266
Tank Bund,Miyapur,18.04,77,Morning,7,Clear,Weekday,Heavy,Premium,660
Abids,Gachibowli,18.7,37,Morning,10,Clear,Weekday,Light,Standard,277
Gachibowli,Film Nagar,10.32,23,Morning,10,Rainy,Weekday,Light,Standard,227
Financial District,Banjara Hills,12.11,34,Night,4,Thunderstorm,Weekday,Moderate,Economy,346
Begumpet,KPHB,12.01,53,Evening,17,Rainy,Weekday,Heavy,Standard,490
Paradise Circle,Financial District,21.28,90,Evening,17,Rainy,Weekday,Heavy,Economy,706
Kukatpally,Shamshabad Airport,35.47,90,Morning,7,Clear,Weekend,Moderate,Economy,672
Hitech City,Gachibowli,3.91,21,Morning,10,Cloudy,Weekend,Heavy,Economy,125
Koti,Dilsukhnagar,6.59,31,Evening,18,Clear,Weekday,Heavy,Premium,315
Abids,Shamshabad Airport,22.96,44,Afternoon,13,Light Rain,Weekday,Light,Standard,417
Secunderabad,Miyapur,19.59,39,Afternoon,13,Clear,Weekday,Light,Economy,264
Secunderabad,Botanical Garden,14.76,64,Evening,17,Clear,Weekday,Heavy,Standard,474
Tank Bund,Madhapur,11.81,33,Afternoon,14,Cloudy,Weekday,Moderate,Economy,220
Film Nagar,Kukatpally,10.81,31,Morning,10,Light Rain,Weekday,Moderate,Premium,313
Paradise Circle,Begumpet,4.55,13,Night,21,Clear,Weekday,Light,Economy,83
Miyapur,Paradise Circle,19.03,81,Afternoon,14,Rainy,Weekday,Heavy,Economy,454
Secunderabad,Uppal,9.67,44,Morning,9,Clear,Weekday,Heavy,Standard,305
Shamshabad Airport,Charminar,18.62,79,Evening,18,Cloudy,Weekday,Heavy,Standard,576
Film Nagar,Begumpet,7.87,18,Morning,11,Clear,Weekday,Light,Economy,127
Kukatpally,Film Nagar,10.81,31,Afternoon,13,Cloudy,Weekend,Moderate,Premium,332
Begumpet,Botanical Garden,9.69,22,Afternoon,15,Cloudy,Weekday,Light,Premium,240
Jubilee Hills,Botanical Garden,4.58,13,Night,2,Clear,Holiday,Light,Economy,122
Koti,KPHB,20.07,39,Morning,6,Clear,Weekday,Light,Economy,269
Jubilee Hills,Kukatpally,8.82,20,Morning,6,Light Rain,Weekend,Light,Premium,260
Miyapur,Botanical Garden,7.72,18,Night,4,Rainy,Weekday,Light,Premium,263
Golconda Fort,Madhapur,9.39,21,Morning,6,Thunderstorm,Weekday,Light,Premium,304
Tank Bund,KPHB,15.18,66,Evening,17,Clear,Weekday,Heavy,Economy,409
Uppal,Inorbit Mall,24.03,46,Morning,6,Clear,Weekday,Light,Standard,373
Koti,Miyapur,22.74,44,Morning,5,Clear,Weekend,Light,Premium,472
Lakdikapul,Shamshabad Airport,23.92,46,Afternoon,16,Clear,Weekday,Light,Standard,352
Mehdipatnam,Charminar,6.74,17,Morning,5,Clear,Weekday,Light,Premium,172
Ameerpet,Kukatpally,8.6,26,Morning,5,Clear,Weekday,Moderate,Standard,174
Banjara Hills,Dilsukhnagar,14.59,40,Evening,18,Clear,Weekend,Moderate,Premium,546
Secunderabad,Begumpet,5.07,14,Morning,6,Cloudy,Weekend,Light,Economy,102
Miyapur,Mehdipatnam,18.14,78,Morning,8,Cloudy,Weekday,Heavy,Standard,530
Begumpet,Mehdipatnam,7.71,24,Evening,19,Clear,Weekday,Moderate,Standard,220
Miyapur,Lakdikapul,18.11,36,Morning,8,Rainy,Weekend,Light,Standard,451
Lingampally,Koti,27.39,115,Night,21,Thunderstorm,Weekday,Heavy,Standard,846
Paradise Circle,Madhapur,14.19,29,Afternoon,16,Clear,Weekday,Light,Economy,203
Tank Bund,Lingampally,23.78,46,Evening,20,Cloudy,Weekend,Light,Premium,550
LB Nagar,Charminar,11.28,50,Morning,7,Rainy,Weekday,Heavy,Premium,572
Begumpet,Banjara Hills,5.94,15,Afternoon,16,Rainy,Weekday,Light,Economy,129
KPHB,Uppal,26.29,68,Morning,7,Clear,Weekend,Moderate,Premium,792
Gachibowli,Dilsukhnagar,26.34,68,Afternoon,12,Clear,Weekday,Moderate,Premium,650
Botanical Garden,Mehdipatnam,10.64,31,Morning,6,Rainy,Weekday,Moderate,Premium,361
Charminar,LB Nagar,11.28,24,Morning,11,Clear,Weekday,Light,Premium,239
Ameerpet,Paradise Circle,6.73,21,Evening,20,Clear,Weekend,Moderate,Standard,164
Lingampally,Koti,27.39,52,Morning,6,Clear,Weekend,Light,Economy,386
Lingampally,Kukatpally,12.75,27,Night,3,Clear,Weekday,Light,Premium,338
Hitech City,Dilsukhnagar,23.42,61,Morning,11,Rainy,Weekday,Moderate,Premium,682
Shamshabad Airport,Dilsukhnagar,22.77,60,Morning,7,Thunderstorm,Weekend,Moderate,Standard,765
Hitech City,Abids,15.76,43,Evening,18,Cloudy,Weekend,Moderate,Economy,382
Paradise Circle,Koti,8.84,20,Evening,17,Thunderstorm,Holiday,Light,Premium,460
Mehdipatnam,Abids,4.79,13,Evening,18,Clear,Weekend,Light,Standard,141
Banjara Hills,Miyapur,14.9,65,Morning,8,Clear,Weekday,Heavy,Standard,417
Gachibowli,Ameerpet,13.41,59,Evening,19,Clear,Weekday,Heavy,Economy,363
Secunderabad,LB Nagar,15.58,42,Night,21,Clear,Weekday,Moderate,Economy,241
Kukatpally,Shamshabad Airport,35.47,66,Evening,17,Clear,Weekend,Light,Economy,654
Golconda Fort,Abids,10.32,23,Afternoon,13,Cloudy,Weekday,Light,Standard,194
KPHB,Abids,18.53,37,Morning,9,Cloudy,Weekend,Light,Standard,396
Madhapur,Botanical Garden,0.64,8,Morning,9,Cloudy,Weekday,Heavy,Premium,96
Koti,Hitech City,17.02,34,Morning,6,Thunderstorm,Weekday,Light,Premium,467
Hitech City,Lakdikapul,12.41,26,Afternoon,15,Clear,Weekday,Light,Economy,182
Lingampally,KPHB,10.33,46,Evening,18,Cloudy,Weekday,Heavy,Economy,315
Lingampally,Secunderabad,26.13,68,Evening,17,Clear,Weekend,Moderate,Economy,567
Madhapur,Inorbit Mall,1.96,8,Night,23,Clear,Weekday,Light,Economy,64
Botanical Garden,Begumpet,9.69,28,Morning,5,Clear,Weekday,Moderate,Economy,170
Kukatpally,Shamshabad Airport,35.47,147,Evening,18,Clear,Weekday,Heavy,Premium,1266
Golconda Fort,Jubilee Hills,5.93,15,Evening,17,Clear,Holiday,Light,Standard,180
Uppal,Financial District,29.75,76,Morning,6,Clear,Weekday,Moderate,Premium,658
Botanical Garden,Banjara Hills,7.52,23,Evening,17,Clear,Weekend,Moderate,Standard,231
Jubilee Hills,Lakdikapul,7.06,33,Morning,8,Clear,Weekday,Heavy,Economy,201
KPHB,Hitech City,6.96,33,Night,3,Clear,Weekday,Heavy,Economy,186
Paradise Circle,LB Nagar,16.06,69,Morning,5,Cloudy,Weekday,Heavy,Standard,404
Abids,Banjara Hills,6.93,22,Morning,7,Clear,Weekend,Moderate,Standard,201
Charminar,Banjara Hills,9.87,22,Evening,19,Clear,Weekend,Light,Premium,332
Film Nagar,Golconda Fort,4.5,16,Afternoon,14,Rainy,Weekend,Moderate,Premium,203
Begumpet,Lingampally,21.15,90,Morning,8,Light Rain,Weekday,Heavy,Standard,678
Madhapur,Koti,15.28,66,Evening,18,Clear,Weekday,Heavy,Premium,611
Abids,Tank Bund,4.43,13,Morning,11,Clear,Weekday,Light,Standard,99
Tank Bund,Lakdikapul,3.93,14,Evening,19,Rainy,Holiday,Moderate,Premium,290
Tank Bund,Hitech City,13.89,61,Morning,7,Cloudy,Weekday,Heavy,Premium,540
Hitech City,Gachibowli,3.91,14,Evening,19,Rainy,Weekday,Moderate,Standard,162
Koti,LB Nagar,11.67,33,Evening,18,Rainy,Weekday,Moderate,Standard,391
Ameerpet,Kukatpally,8.6,26,Evening,18,Clear,Weekday,Moderate,Standard,238
Lakdikapul,Hitech City,12.41,55,Morning,9,Thunderstorm,Weekday,Heavy,Economy,428
Uppal,Film Nagar,19.54,52,Evening,20,Cloudy,Weekday,Moderate,Standard,364
Mehdipatnam,Financial District,13.72,38,Afternoon,12,Clear,Weekday,Moderate,Economy,226
Financial District,Tank Bund,18.08,36,Evening,20,Cloudy,Weekend,Light,Economy,280
Secunderabad,Abids,7.49,23,Morning,7,Clear,Weekday,Moderate,Premium,269
Tank Bund,Mehdipatnam,6.19,30,Morning,7,Light Rain,Weekday,Heavy,Premium,304
KPHB,Tank Bund,15.18,41,Morning,7,Thunderstorm,Weekend,Moderate,Economy,460
Lingampally,Secunderabad,26.13,50,Morning,6,Clear,Weekend,Light,Standard,437
LB Nagar,Botanical Garden,27.16,52,Night,22,Thunderstorm,Weekday,Light,Premium,931
KPHB,Kukatpally,2.68,10,Night,21,Clear,Weekday,Light,Premium,91
Uppal,Ameerpet,16.17,33,Night,0,Light Rain,Weekday,Light,Premium,478
Begumpet,Koti,9.25,21,Afternoon,14,Clear,Weekday,Light,Standard,166
Banjara Hills,Uppal,17.67,35,Evening,20,Clear,Weekend,Light,Economy,262
Tank Bund,Madhapur,11.81,25,Afternoon,13,Cloudy,Weekday,Light,Premium,264
Dilsukhnagar,Jubilee Hills,18.07,48,Morning,11,Clear,Weekday,Moderate,Standard,335
Uppal,Gachibowli,29.34,55,Morning,5,Clear,Weekday,Light,Economy,361
Gachibowli,Paradise Circle,20.11,85,Afternoon,13,Clear,Weekday,Heavy,Economy,386
Miyapur,Charminar,24.75,64,Evening,17,Cloudy,Weekday,Moderate,Standard,623
Uppal,Lakdikapul,14.44,63,Morning,7,Clear,Weekday,Heavy,Economy,348
Botanical Garden,Golconda Fort,10.02,45,Afternoon,13,Clear,Weekday,Heavy,Economy,214
Dilsukhnagar,Abids,7.67,36,Afternoon,12,Clear,Weekend,Heavy,Economy,201
Abids,Lakdikapul,3.35,18,Morning,9,Clear,Weekday,Heavy,Economy,116
Miyapur,Kukatpally,5.64,28,Evening,17,Clear,Weekday,Heavy,Standard,222
Financial District,Secunderabad,21.72,92,Evening,18,Clear,Weekday,Heavy,Economy,545
Tank Bund,Miyapur,18.04,48,Afternoon,15,Clear,Weekday,Moderate,Standard,342
Begumpet,Lakdikapul,5.9,29,Afternoon,16,Clear,Weekend,Heavy,Premium,230
Begumpet,Abids,7.63,18,Afternoon,16,Clear,Weekday,Light,Premium,176
Lingampally,Charminar,28.76,120,Afternoon,13,Clear,Weekend,Heavy,Standard,726
Banjara Hills,Paradise Circle,9.57,28,Morning,8,Rainy,Weekend,Moderate,Standard,340
Financial District,Shamshabad Airport,27.83,53,Morning,5,Rainy,Weekday,Light,Premium,681
Banjara Hills,Madhapur,7.09,17,Morning,10,Rainy,Weekday,Light,Standard,172
Paradise Circle,Golconda Fort,15.43,67,Morning,8,Clear,Weekday,Heavy,Standard,447
Hitech City,Miyapur,7.91,19,Afternoon,14,Cloudy,Weekday,Light,Standard,154
Jubilee Hills,Koti,11.6,25,Night,3,Clear,Weekday,Light,Economy,195
Paradise Circle,Jubilee Hills,12.35,26,Morning,5,Clear,Weekend,Light,Economy,195
Mehdipatnam,LB Nagar,17.26,35,Afternoon,16,Light Rain,Weekday,Light,Standard,302
Lingampally,Kukatpally,12.75,56,Afternoon,14,Clear,Weekday,Heavy,Premium,419
Botanical Garden,Lingampally,11.84,52,Afternoon,12,Rainy,Weekend,Heavy,Premium,517
Dilsukhnagar,Paradise Circle,11.31,24,Morning,6,Clear,Weekday,Light,Premium,250
Begumpet,Financial District,16.93,46,Night,4,Cloudy,Weekday,Moderate,Standard,414
Charminar,Banjara Hills,9.87,44,Evening,17,Clear,Weekday,Heavy,Standard,330
Inorbit Mall,Charminar,16.08,33,Morning,7,Clear,Holiday,Light,Economy,332
Abids,Lingampally,26.08,68,Evening,18,Clear,Weekday,Moderate,Standard,630
Shamshabad Airport,Banjara Hills,25.34,106,Evening,19,Rainy,Weekday,Heavy,Standard,898
Madhapur,LB Nagar,26.8,51,Morning,11,Thunderstorm,Weekend,Light,Standard,622
KPHB,Financial District,13.23,28,Afternoon,15,Clear,Weekday,Light,Standard,222
Shamshabad Airport,Film Nagar,24.66,64,Afternoon,14,Clear,Weekday,Moderate,Premium,564
Gachibowli,Paradise Circle,20.11,53,Morning,7,Cloudy,Weekend,Moderate,Economy,443
Hitech City,Inorbit Mall,2.34,9,Morning,10,Clear,Weekday,Light,Premium,83
Botanical Garden,Abids,14.31,39,Evening,18,Cloudy,Weekend,Moderate,Economy,360
Kukatpally,Gachibowli,10.5,47,Morning,9,Rainy,Weekday,Heavy,Premium,528
KPHB,Miyapur,2.97,12,Evening,20,Rainy,Weekend,Moderate,Standard,119
Dilsukhnagar,LB Nagar,5.27,18,Morning,7,Rainy,Weekday,Moderate,Standard,185
Abids,Dilsukhnagar,7.67,18,Morning,6,Rainy,Weekend,Light,Premium,263
Shamshabad Airport,Gachibowli,30.94,58,Morning,8,Rainy,Weekend,Light,Economy,673
Lingampally,LB Nagar,38.96,72,Morning,10,Clear,Weekday,Light,Standard,583
Lakdikapul,Dilsukhnagar,11.01,49,Evening,18,Rainy,Weekday,Heavy,Standard,437
Koti,Jubilee Hills,11.6,51,Night,4,Clear,Weekend,Heavy,Premium,488
Mehdipatnam,Koti,5.62,27,Afternoon,15,Clear,Weekend,Heavy,Standard,175
Shamshabad Airport,Miyapur,38.65,71,Morning,10,Rainy,Weekday,Light,Premium,910
Golconda Fort,Banjara Hills,6.22,16,Afternoon,16,Clear,Weekday,Light,Premium,162
Tank Bund,Uppal,11.98,26,Afternoon,13,Clear,Weekday,Light,Premium,260
Abids,Madhapur,13.94,61,Evening,19,Clear,Weekday,Heavy,Premium,575
Film Nagar,Lakdikapul,5.17,14,Evening,18,Light Rain,Weekend,Light,Economy,154
LB Nagar,Dilsukhnagar,5.27,18,Afternoon,14,Cloudy,Weekend,Moderate,Premium,183
Miyapur,Hitech City,7.91,37,Evening,19,Clear,Weekday,Heavy,Premium,369
Golconda Fort,Ameerpet,9.96,45,Morning,6,Rainy,Weekday,Heavy,Premium,422
Film Nagar,Mehdipatnam,3.95,12,Morning,11,Clear,Weekday,Light,Premium,121
Abids,Miyapur,21.23,56,Night,1,Clear,Weekday,Moderate,Economy,414
Botanical Garden,Lakdikapul,11.0,49,Evening,18,Clear,Weekday,Heavy,Standard,349
Ameerpet,Inorbit Mall,8.14,19,Afternoon,12,Clear,Weekday,Light,Standard,152
Secunderabad,Abids,7.49,23,Evening,19,Rainy,Weekday,Moderate,Economy,218
Botanical Garden,Charminar,17.36,74,Evening,18,Clear,Weekday,Heavy,Standard,531
KPHB,Mehdipatnam,15.75,43,Afternoon,13,Cloudy,Weekend,Moderate,Economy,287
Tank Bund,Dilsukhnagar,10.57,23,Afternoon,16,Clear,Weekday,Light,Economy,147
Inorbit Mall,Madhapur,1.96,13,Afternoon,16,Cloudy,Weekday,Heavy,Economy,73
Shamshabad Airport,Miyapur,38.65,98,Morning,5,Rainy,Weekend,Moderate,Economy,774
Ameerpet,Koti,9.14,21,Evening,19,Rainy,Weekend,Light,Premium,378
Film Nagar,Gachibowli,10.32,23,Morning,7,Rainy,Weekend,Light,Standard,288
Botanical Garden,Financial District,8.68,20,Afternoon,12,Thunderstorm,Weekday,Light,Economy,176
Gachibowli,Paradise Circle,20.11,85,Afternoon,16,Clear,Weekday,Heavy,Standard,441
Lakdikapul,Inorbit Mall,10.24,46,Morning,7,Cloudy,Weekday,Heavy,Economy,283
Banjara Hills,Secunderabad,9.94,45,Morning,11,Rainy,Weekend,Heavy,Economy,289
Mehdipatnam,Tank Bund,6.19,16,Evening,20,Clear,Weekday,Light,Standard,117
Koti,Hitech City,17.02,34,Afternoon,16,Rainy,Weekday,Light,Premium,425
Uppal,Secunderabad,9.67,28,Morning,11,Cloudy,Weekday,Moderate,Economy,187
KPHB,Hitech City,6.96,33,Morning,7,Light Rain,Weekday,Heavy,Premium,338
Banjara Hills,Koti,8.2,19,Morning,6,Cloudy,Weekday,Light,Standard,156
Uppal,Inorbit Mall,24.03,101,Morning,8,Thunderstorm,Weekday,Heavy,Premium,1204
Golconda Fort,Kukatpally,14.72,30,Afternoon,16,Cloudy,Weekday,Light,Premium,338
Abids,Gachibowli,18.7,50,Morning,8,Clear,Weekday,Moderate,Standard,435
Abids,Charminar,4.54,16,Morning,7,Rainy,Weekend,Moderate,Standard,189
Charminar,Miyapur,24.75,47,Morning,7,Thunderstorm,Holiday,Light,Economy,638
Banjara Hills,Charminar,9.87,29,Morning,7,Clear,Weekend,Moderate,Premium,355
Begumpet,Banjara Hills,5.94,29,Evening,18,Clear,Weekday,Heavy,Economy,179
Uppal,Mehdipatnam,16.37,44,Afternoon,13,Clear,Weekend,Moderate,Standard,347
Banjara Hills,Gachibowli,11.85,52,Evening,19,Clear,Weekday,Heavy,Premium,488
Miyapur,Inorbit Mall,9.91,29,Afternoon,14,Clear,Weekend,Moderate,Premium,289
LB Nagar,Charminar,11.28,32,Afternoon,12,Clear,Weekend,Moderate,Standard,251
Financial District,Botanical Garden,8.68,20,Morning,10,Cloudy,Weekend,Light,Standard,177
Mehdipatnam,Koti,5.62,15,Morning,5,Clear,Weekend,Light,Premium,161
Tank Bund,Inorbit Mall,12.07,26,Afternoon,13,Clear,Weekend,Light,Standard,223
Koti,LB Nagar,11.67,52,Evening,18,Cloudy,Weekday,Heavy,Premium,519
Lingampally,Secunderabad,26.13,50,Afternoon,12,Clear,Weekday,Light,Economy,335
Dilsukhnagar,Koti,6.59,16,Morning,11,Light Rain,Weekday,Light,Premium,185
KPHB,Begumpet,12.01,34,Morning,5,Light Rain,Weekday,Moderate,Economy,230
Film Nagar,Miyapur,14.61,40,Afternoon,13,Clear,Weekend,Moderate,Premium,417
Charminar,Lingampally,28.76,54,Morning,5,Thunderstorm,Weekday,Light,Premium,780
Paradise Circle,Ameerpet,6.73,32,Afternoon,16,Clear,Weekday,Heavy,Standard,191
Ameerpet,Botanical Garden,7.77,24,Morning,7,Cloudy,Weekday,Moderate,Standard,204
Mehdipatnam,Gachibowli,14.22,39,Evening,17,Rainy,Weekday,Moderate,Premium,576
Film Nagar,Ameerpet,5.57,15,Afternoon,13,Rainy,Weekday,Light,Economy,118
Uppal,Film Nagar,19.54,38,Afternoon,14,Cloudy,Weekday,Light,Standard,311
Dilsukhnagar,KPHB,25.71,67,Evening,18,Thunderstorm,Weekday,Moderate,Premium,1093
Kukatpally,Gachibowli,10.5,47,Evening,17,Light Rain,Weekday,Heavy,Standard,413
Golconda Fort,Shamshabad Airport,21.04,41,Morning,9,Rainy,Weekend,Light,Economy,456
Begumpet,Golconda Fort,12.15,34,Morning,9,Clear,Weekend,Moderate,Economy,276
Lakdikapul,Abids,3.35,18,Morning,8,Rainy,Weekday,Heavy,Standard,163
Ameerpet,Kukatpally,8.6,20,Night,21,Clear,Weekday,Light,Standard,149
Film Nagar,Uppal,19.54,83,Afternoon,15,Clear,Weekend,Heavy,Economy,423
Golconda Fort,Miyapur,17.62,47,Morning,7,Clear,Weekday,Moderate,Economy,337
Shamshabad Airport,Uppal,29.84,77,Afternoon,16,Rainy,Weekend,Moderate,Standard,723
Banjara Hills,Golconda Fort,6.22,30,Morning,8,Light Rain,Weekday,Heavy,Economy,206
Hitech City,Charminar,18.4,37,Evening,19,Cloudy,Weekend,Light,Economy,358
Begumpet,Ameerpet,2.39,15,Morning,8,Clear,Weekday,Heavy,Standard,111
Charminar,Gachibowli,20.73,88,Morning,8,Clear,Weekday,Heavy,Premium,710
Shamshabad Airport,Botanical Garden,31.05,80,Afternoon,14,Rainy,Weekday,Moderate,Economy,562
Lakdikapul,Uppal,14.44,40,Evening,18,Clear,Weekend,Moderate,Standard,381
Film Nagar,Kukatpally,10.81,48,Morning,7,Clear,Weekend,Heavy,Standard,351
Shamshabad Airport,Mehdipatnam,22.4,59,Morning,5,Clear,Weekend,Moderate,Economy,393
Gachibowli,Banjara Hills,11.85,33,Morning,10,Clear,Weekend,Moderate,Economy,222
Shamshabad Airport,Kukatpally,35.47,66,Night,4,Thunderstorm,Weekday,Light,Standard,874
KPHB,Financial District,13.23,58,Afternoon,16,Cloudy,Weekday,Heavy,Economy,290
Hitech City,Gachibowli,3.91,21,Morning,7,Rainy,Weekday,Heavy,Economy,162
Abids,Lingampally,26.08,68,Morning,7,Clear,Weekend,Moderate,Standard,614
Financial District,Abids,18.48,49,Afternoon,16,Clear,Weekend,Moderate,Standard,377
Hitech City,Charminar,18.4,79,Morning,9,Cloudy,Weekday,Heavy,Premium,720
Botanical Garden,Begumpet,9.69,22,Night,0,Clear,Weekend,Light,Premium,298
Golconda Fort,Madhapur,9.39,21,Afternoon,12,Clear,Weekday,Light,Economy,139
Kukatpally,Ameerpet,8.6,26,Night,21,Rainy,Weekend,Moderate,Standard,254
KPHB,Film Nagar,12.47,55,Night,4,Clear,Weekday,Heavy,Standard,362
Lakdikapul,Hitech City,12.41,35,Night,2,Rainy,Weekday,Moderate,Premium,489
Shamshabad Airport,Begumpet,29.81,77,Morning,5,Light Rain,Weekday,Moderate,Premium,777
Ameerpet,Madhapur,7.61,18,Morning,11,Clear,Weekend,Light,Standard,152
Shamshabad Airport,Kukatpally,35.47,66,Morning,10,Clear,Weekday,Light,Standard,498
Charminar,Gachibowli,20.73,41,Afternoon,13,Clear,Weekday,Light,Economy,284
Paradise Circle,Dilsukhnagar,11.31,50,Morning,7,Clear,Weekend,Heavy,Premium,504
Uppal,Paradise Circle,10.23,23,Night,23,Clear,Weekday,Light,Premium,285
KPHB,Charminar,22.23,43,Morning,11,Thunderstorm,Holiday,Light,Premium,801
Abids,Dilsukhnagar,7.67,18,Evening,18,Clear,Weekend,Light,Standard,208
Financial District,LB Nagar,30.81,79,Evening,17,Thunderstorm,Weekend,Moderate,Standard,1059
Hitech City,Uppal,25.87,108,Evening,19,Clear,Weekday,Heavy,Standard,723
Paradise Circle,Financial District,21.28,90,Morning,9,Clear,Weekday,Heavy,Standard,570
LB Nagar,Lingampally,38.96,72,Morning,6,Thunderstorm,Weekday,Light,Premium,1066
Kukatpally,Banjara Hills,10.47,23,Night,23,Clear,Weekend,Light,Standard,242
Shamshabad Airport,Gachibowli,30.94,58,Night,2,Clear,Weekday,Light,Standard,537
KPHB,Lakdikapul,15.5,32,Morning,6,Rainy,Weekday,Light,Economy,252
Begumpet,Hitech City,11.81,33,Morning,7,Clear,Weekday,Moderate,Premium,363
Gachibowli,Jubilee Hills,8.36,19,Morning,11,Cloudy,Weekday,Light,Economy,133
Paradise Circle,Kukatpally,13.39,28,Morning,11,Clear,Weekday,Light,Standard,226
Financial District,Madhapur,8.29,38,Evening,18,Clear,Weekday,Heavy,Economy,239
Banjara Hills,Koti,8.2,25,Morning,6,Clear,Weekend,Moderate,Standard,193
Secunderabad,KPHB,16.63,45,Afternoon,13,Clear,Weekday,Moderate,Standard,319
KPHB,Film Nagar,12.47,35,Afternoon,12,Light Rain,Weekday,Moderate,Economy,236
